id,cohort,race,sex,asvab_wt,sci,arith,word,para,number,coding,auto,math,mech,elec,social,weight_custom,pc1_verb,pc2_math,pc3_mech,pc4_admin,pc1_verb_m,pc1_verb_f,pc2_math_m,pc2_math_f,pc3_mech_m,pc3_mech_f,pc4_admin_m,pc4_admin_f,social_m,social_f
3829,79,3,1,547293,.46497241,.065311208,1.1894025,.60467374,-.28146419,.183952,1.9056209,-1.3790962,.48565164,1.068145,1.9413016,517379,1.4078686,-1.0645282,2.1935909,.16340341,1.4078686,,-1.0645282,,2.1935909,,.16340341,,1.9413016,
3830,79,3,1,474367,.56609464,.44350642,.72532839,-.56800461,-.26313138,.38591814,1.6117744,-.39865395,2.2824967,.59466434,-.28588352,456264,.20689695,.30093861,2.8046732,.14251278,.20689695,,.30093861,,2.8046732,,.14251278,,-.28588352,
3831,79,3,1,479521,.89921075,-.63062763,.37681094,.55179071,-.66540635,-.97116578,.62149554,-.3671279,-.21475643,.93236327,-.16898614,430908,1.1876049,-.81567144,.78086585,-1.1256207,1.1876049,,-.81567144,,.78086585,,-1.1256207,,-.16898614,
3832,79,3,2,521847,.25335366,-.64561158,.57794464,.1143974,1.4101533,-.39282122,.073387913,-.3294805,-1.3786855,-.806481,-.09270376,469421,.38115087,-.48941666,-1.081453,.52524078,,.38115087,,-.48941666,,-1.081453,,.52524078,,-.09270376
3833,79,3,1,474367,.85654444,.67281073,.4649497,.23330608,1.0665259,.97439295,1.6622118,.18795052,.43716553,1.1863512,1.0411105,456264,.96251738,.73211664,1.9851404,1.3361647,.96251738,,.73211664,,1.9851404,,1.3361647,,1.0411105,
3834,79,3,2,494674,.94625604,1.7962493,1.1332849,1.262765,.86007971,.60167629,1.1846484,1.9765362,1.0585165,2.0388646,1.1081251,487633,2.2340012,2.8031723,2.0692391,.7567727,,2.2340012,,2.8031723,,2.0692391,,.7567727,,1.1081251
3835,79,3,2,531377,.98997694,1.2581686,.77745485,.74717915,1.3031673,1.9702978,-.19610138,1.3412557,.71315235,.3293266,.36893579,487605,1.4015746,2.1317332,.32821271,2.1484623,,1.4015746,,2.1317332,,.32821271,,2.1484623,,.36893579
3836,79,3,2,468914,1.129115,1.8003113,1.2471356,1.1197867,1.4544481,1.3383284,-.042980209,1.5153755,.77493286,.32415193,-.28648242,444907,1.9357399,2.6925397,.40727767,1.6868579,,1.9357399,,2.6925397,,.40727767,,1.6868579,,-.28648242
3837,79,3,2,494674,-.36141089,.068723068,.86588782,.13671663,.53614187,1.0561152,-.4886336,1.2895051,-.7099241,.75242722,-.65040219,487633,.76439667,.77421582,-.58432287,1.1037978,,.76439667,,.77421582,,-.58432287,,1.1037978,,-.65040219
3838,79,3,1,474367,-.26824436,.10011032,.82516551,1.2626033,1.738886,1.22379,.28451899,.59480143,-.26651537,-.18128867,1.8484859,456264,1.0563741,.79439205,-.3339633,2.048708,1.0563741,,.79439205,,-.3339633,,2.048708,,1.8484859,
3839,79,3,2,586344,-.49861011,.20266503,-.049641229,-.14175165,.49607259,1.1133071,-.2130373,-.40825614,-.16956228,-.41851476,-1.0711644,555778,-.42268771,-.15466574,-.40253228,1.2378635,,-.42268771,,-.15466574,,-.40253228,,1.2378635,,-1.0711644
3840,79,2,1,161653,-.68646079,-.65834945,-1.1581755,-1.4908075,-1.3675289,-1.6183349,-.3908439,-1.0560894,.021431351,-1.2602977,-.65047878,148496,-2.1983879,-1.3661435,-.59482557,-2.029546,-2.1983879,,-1.3661435,,-.59482557,,-2.029546,,-.65047878,
3841,79,3,1,157531,.87703025,.25141552,.67402351,.44432333,.38796943,.22859651,1.2801462,-.58103502,1.1807584,1.2312102,.23194268,142279,1.1566114,.073529758,2.1349199,.3988798,1.1566114,,.073529758,,2.1349199,,.3988798,,.23194268,
3842,79,2,2,148904,-.7864117,.4160926,.52467549,.88772267,-.62959063,-.049974699,1.3095951,.36684194,.036617368,-.82889193,-1.1856602,146479,.28484124,.1516488,.4249469,-.19599293,,.28484124,,.1516488,,.4249469,,-.19599293,,-1.1856602
3843,79,3,2,0,,,,,,,,,,,2.0333831,542889,,,,,,,,,,,,,,2.0333831
3844,79,3,1,470764,2.0608304,1.8548378,1.241021,.85589749,.41820267,.44208825,1.793936,1.2309296,2.0612643,2.1118941,-.85822392,430908,2.4461265,2.4633751,3.3517725,.33399138,2.4461265,,2.4633751,,3.3517725,,.33399138,,-.85822392,
3845,79,3,1,541379,.76463258,-.071211413,.96756256,.80169255,.36450136,-.1379399,2.0142674,-.37509221,.81229925,1.2887299,.29183367,517379,1.5200924,-.13445199,2.3890822,.16802976,1.5200924,,-.13445199,,2.3890822,,.16802976,,.29183367,
3846,79,3,2,581159,.25979251,.97297806,.73864317,.87165129,1.7007651,2.1604304,.048522379,1.1094635,-.14770962,.9170509,1.9282053,566680,1.3242236,1.6123658,.17889979,2.6176696,,1.3242236,,1.6123658,,.17889979,,2.6176696,,1.9282053
3847,79,3,1,572497,.75849944,.95533961,.53281379,.20987588,1.2121278,1.7364736,.91989148,.31033,-.67876858,1.4213641,1.326395,517067,1.1751199,.71801323,.99785924,2.006629,1.1751199,,.71801323,,.99785924,,2.006629,,1.326395,
3848,79,3,1,0,,,,,,,,,,,1.9239303,430908,,,,,,,,,,,,,1.9239303,
3849,79,3,2,468914,-.64183879,.047804493,.18697917,.30438316,1.0529153,1.3383284,-1.1449759,-.23293504,.067870386,-.37351376,-.30375853,444907,-.083387583,.19226484,-1.0762022,1.7065949,,-.083387583,,.19226484,,-1.0762022,,1.7065949,,-.30375853
3850,79,3,2,531377,.18847542,.092347048,.97677547,1.1154166,.51005524,.34969333,.50093192,-.43159601,-.44357139,-.6310938,.2140733,487605,1.1867068,-.24860398,-.22771621,.71250486,,1.1867068,,-.24860398,,-.22771621,,.71250486,,.2140733
